No,Nama,LLDikti
366,Akademi Keperawatan Intan Martapura,11.0
367,Akademi Keperawatan Islamic Village,
368,Akademi Keperawatan Kaltara Tarakan,11.0
369,Akademi Keperawatan Karya Bhakti Nusantara,6.0
370,Akademi Keperawatan Keris Husada Jakarta,
371,Akademi Keperawatan Kesdam I/ Bukit Barisan,1.0
372,Akademi Keperawatan Kesdam I/Bukit Barisan,
373,Akademi Keperawatan Kesdam I/Bukit Barisan Padang,10.0
374,Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar,1.0
375,Akademi Keperawatan Kesdam Ii Sriwijaya,2.0
376,Akademi Keperawatan Kesdam Iskandar Muda Banda Aceh,
377,Akademi Keperawatan Kesdam Iskandar Muda Lhokseumawe,
378,Akademi Keperawatan Kesdam Iv/Diponegoro,6.0
379,Akademi Keperawatan Kesdam Ix/Udayana,8.0
380,Akademi Keperawatan Kesdam Vi/Tanjungpura,11.0
381,Akademi Keperawatan Krida Husada,
382,Akademi Keperawatan Lapatau Bone,
383,Akademi Keperawatan Makasar,
384,Akademi Keperawatan Malahayati Medan,
385,Akademi Keperawatan Mandiri,
386,Akademi Keperawatan Manggala Husada,
387,Akademi Keperawatan Mappa Oudang Makassar,
388,Akademi Keperawatan Maranatha Groups,15.0
389,Akademi Keperawatan Muhammadiyah Bireuen,
390,Akademi Keperawatan Nabila,10.0
391,Akademi Keperawatan Nazhatut Thullab Sampang,
392,Akademi Keperawatan Ngesti Waluyo Parakan,6.0
393,Akademi Keperawatan Notokusumo,5.0
394,Akademi Keperawatan Panca Bhakti,
395,Akademi Keperawatan Pandan Harum Banjarmasin,
396,Akademi Keperawatan Pangkalpinang,
397,Akademi Keperawatan Panti Kosala,
398,Akademi Keperawatan Pasar Rebo Jakarta,
399,Akademi Keperawatan Patria Husada Surakarta,
400,Akademi Keperawatan Pelni,
401,Akademi Keperawatan Pembina,
402,Akademi Keperawatan Pemda Waikabubak,
403,Akademi Keperawatan Pemerintah Daerah Kabupaten Serang Provinsi Banten,
404,Akademi Keperawatan Pemerintah Kabupaten Asahan Kisaran,
405,Akademi Keperawatan Pemerintah Kabupaten Belitung,
406,Akademi Keperawatan Pemerintah Kabupaten Buton,
407,Akademi Keperawatan Pemerintah Kabupaten Dairi Sidikalang Provinsi Sumatera Utara,
408,Akademi Keperawatan Pemerintah Kabupaten Kotawaringin Timur Provinsi Kalimantan Tengah,
409,Akademi Keperawatan Pemerintah Kabupaten Lamongan,
410,Akademi Keperawatan Pemerintah Kabupaten Muna,
411,Akademi Keperawatan Pemerintah Kabupaten Musi Banyuasin,
412,Akademi Keperawatan Pemerintah Kabupaten Ngawi,
413,Akademi Keperawatan Pemerintah Kabupaten Pamekasan,
